topic,premise,claim,mace_ibm,hidden_reasoning_keyword,claim_keyword,premise_keyword
Zoos,zoos are cruel to the animals taking them out of their natural environment,We should abolish zoos,0.33049822,Zoos promote cruelty to the animals,Abolishment of zoos,cruel to the animals taking them out of their natural environment
Zoos,zoos are cruel to the animals taking them out of their natural environment,We should abolish zoos,0.33049822,will end the daily suffering of these animals caused by,Abolishing zoos,taking them out of their natural environment
Zoos,zoos are cruel to the animals taking them out of their natural environment,We should abolish zoos,0.33049822,prevents the undue stress and harm caused by,Abolishing zoos,taking them out of their natural environment
Zoos,zoos are cruel to the animals taking them out of their natural environment,We should abolish zoos,0.33049822,"where animals are kept in glass enclosures, forced to live in their filth in situations where",Abolish zoos,zoos are cruel.
Compulsory voting,it is a need we introduce compulsory voting. turnouts are really low on election day which results not seem to represent the real choice of the population in general,We should introduce compulsory voting,0.431392824,forces more people to vote resulting in,compulsory voting,increased turnout
Compulsory voting,it is a need we introduce compulsory voting. turnouts are really low on election day which results not seem to represent the real choice of the population in general,We should introduce compulsory voting,0.431392824,would legitimize election results since the,Introducing compulsory voting,results not seem to represent the real choice
Compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,0.990959788,"forces more people to vote just like a democracy, so it results in",compulsory voting,proper functioning of democracy
Compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,0.990959788,helps promote and ensure,Compulsory voting,"a high turnout, which is important for a proper democratic mandate and for the functioning of democracy."
Compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,0.990959788,will include all citizens voting which gives strength to their government,Compulsory voting,and the functioning of democracy
Compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,0.990959788,would make sure the government is representative of the people which is,Introducing Compulsory voting,important for a proper democratic mandate
Compulsory voting,a high turnout is important for a proper democratic mandate and the functioning of democracy,We should introduce compulsory voting,0.990959788,wider margins in voting is ensured making it more clear to the public that certain policies are important when,Voting should be compulsory,higher turnouts create a mandate.
